,id,created,superceded_id,valid,score,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position
1087,29644156,2022-11-17 14:28:59.843347+00:00,,t,21,73890687690829134,648518346493970464,73890687690823883,648518346481055200,[ 54187 104789   3124],[ 54221 104773   3124]
1088,29644158,2022-11-17 14:28:59.843347+00:00,,t,84,73890687690834176,648518346493970464,73890687690831754,648518346481055200,[ 54207 104833   3125],[ 54247 104825   3126]
1089,26732932,2022-11-17 14:28:59.843347+00:00,,t,20,73960849739746243,648518346486128297,73960849739703972,648518346481055200,[56687 98899  2113],[56705 98893  2111]
1090,26732872,2022-11-17 14:28:59.843347+00:00,,t,45,73960849739629688,648518346487869652,73960849739635023,648518346481055200,[56621 98643  2078],[56627 98621  2078]
1091,26732885,2022-11-17 14:28:59.843347+00:00,,t,31,73960849739734112,648518346486128297,73960849739729056,648518346481055200,[56653 98881  2114],[56643 98847  2114]
1092,26732993,2022-11-17 14:28:59.843347+00:00,,t,40,73960849739601015,648518346487869652,73960849739632519,648518346481055200,[56725 98879  2071],[56755 98869  2072]
1093,26732985,2022-11-17 14:28:59.843347+00:00,,t,46,73960849739377837,648518346500268604,73960849739614504,648518346481055200,[56753 98721  2063],[56751 98745  2065]
1094,26733014,2022-11-17 14:28:59.843347+00:00,,t,33,73960849739661461,648518346509104762,73960849739671509,648518346481055200,[56807 98873  2083],[56773 98885  2084]
1095,26733103,2022-11-17 14:28:59.843347+00:00,,t,52,73960849739637538,648518346492430265,73960849739621354,648518346481055200,[56883 98691  2071],[56867 98725  2071]
1096,26733065,2022-11-17 14:28:59.843347+00:00,,t,29,73960849739565853,648518346509104762,73960849739565829,648518346481055200,[56847 98883  2063],[56819 98877  2064]
1097,26754600,2022-11-17 14:28:59.843347+00:00,,t,31,73538774646623729,648518346428921553,73538774646633952,648518346481055200,[ 44943 103117   2040],[ 44951 103091   2041]
1098,29767856,2022-11-17 14:28:59.843347+00:00,,t,22,74171956106494176,648518346509104762,74171956106454938,648518346481055200,[62857 99133  2382],[62839 99153  2382]
1099,26787054,2022-11-17 14:28:59.843347+00:00,,t,43,73890412343177846,648518346487869652,73890412343148250,648518346481055200,[55225 97677  2248],[55207 97643  2249]
1100,26833526,2022-11-17 14:28:59.843347+00:00,,t,38,73961262526503090,648518346483139492,73961193807063081,648518346481055200,[ 56207 110609   3073],[ 56199 110589   3075]
