,pre_skid,post_skid,pre_node,post_node,pre_pt_position_v3,post_pt_position_v3,pre_pt_position_v4,post_pt_position_v4,pre_pt_supervoxel_id,post_pt_supervoxel_id,pre_pt_root_id,post_pt_root_id
5466,1388256,735491,18185638,18168787,[59490.         96488.25581395  3374.        ],[59516.5        96583.75813953  3374.        ],"[59473.75, 96466.26162790699, 3374.0]","[59500.500000000015, 96563.01627906977, 3374.0]",74101519179566859,74101519179564239,648518346492262595,648518346494774179
5467,1388277,735491,18185643,18164008,[ 55045.74883721 108897.75348837   2351.        ],[ 55010.74883721 108819.75348837   2351.        ],"[55014.99651162792, 108864.26046511633, 2351.0]","[54978.24651162792, 108788.01046511628, 2351.0]",73890824727090008,73890824727077481,648518346483855023,648518346494774179
5468,1388298,735491,18185648,17771261,[59619.50697674 99464.25581395  3056.        ],[59494.00465116 99505.75581395  3056.        ],"[59565.02093023257, 99473.76744186049, 3056.0]","[59439.01860465118, 99516.52325581398, 3056.0]",74101587697943148,74101587697923543,648518346489625439,648518346494774179
5469,1388315,735491,18185653,18130224,[61187.5        98489.81395349  2904.        ],[61297.         98490.31162791  2904.        ],"[61167.5, 98490.62790697676, 2904.0]","[61276.5, 98490.18488372094, 2904.0]",74101587630744781,74101587630761984,648518346483110846,648518346494774179
5470,1388332,735491,18185658,18185656,[ 58552.06046512 100792.92093023   3429.        ],[ 58565.67209302 100942.75348837   3429.        ],"[58532.18139534884, 100799.51279069768, 3429.0]","[58546.094186046525, 100951.50697674422, 3429.0]",74031287874501503,74031287874508661,648518346346946919,648518346346983783
5471,1388363,735491,18185665,18122850,[ 55626.25348837 103473.00930233   2584.        ],[ 55728.75348837 103449.50697674   2583.        ],"[55566.76395348841, 103519.53720930236, 2584.0]","[55668.010465116306, 103498.77093023257, 2583.0]",73960987446995370,73960987446875650,648518346500203554,648518346494774179
5472,1388379,735491,18185669,18046300,[ 59683.5        100528.75813953   3437.        ],[ 59445.50232558 100503.25581395   3437.        ],"[59645.5, 100546.52441860465, 3437.0]","[59419.0046511628, 100517.26162790699, 3437.0]",74101656618721166,74101656618731654,648518346494334440,648518346494774179
5473,1388405,735491,18185676,18185675,[ 59431.5        100713.75813953   3433.        ],[ 59531.91860465 100323.8372093    3435.        ],"[59395.25000000002, 100729.52441860465, 3433.0]","[59507.837209302335, 100340.42441860467, 3435.0]",74101656618721280,74101587899219942,648518346494790834,648518346494774179
5474,1388426,735491,18185681,18043521,[ 60711.5        102794.75348837   2354.        ],[ 60501.16744186 102879.33953488   2354.        ],"[60649.750000000015, 102799.75697674419, 2354.0]","[60441.7523255814, 102892.26860465117, 2354.0]",74101724801193024,74101724801195402,648518346511876543,648518346494774179
5475,1388457,735491,18185688,18142363,[ 61186.5255814  100618.82325581   3367.        ],[ 61121.02325581 100662.3255814    3367.        ],"[61131.076744186044, 100652.46976744187, 3367.0]","[61065.29651162792, 100695.90116279072, 3367.0]",74101656618554872,74101656618547422,648518346491556776,648518346494774179
